"wq_name","site","model","month","Fut1diff_median","Fut2diff_median","Fut1like","Fut2like","Fut1med_use","Fut2med_use","X0"
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Jul",0.0385576867093353,0.0222320468245325,61,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Aug",0.040257933159445,0.0491289489301752,61,68,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Sep",0.0106851602322326,0.00955644326681759,53,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Oct",0.0196387928348778,0.00605882094619759,62,54,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Nov",0.00245303776928818,-0.00699222988228732,51,53,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Dec",0.00210378814438261,0.0435559176579225,52,62,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Jan",-0.000234025984807484,-0.0115565195990952,50,51,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Feb",-0.0221033610298651,-0.0267294653610999,58,61,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Mar",0.01382198797909,0.00835274383785256,55,53,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Apr",0.0204348713608149,0.00728272861015,57,52,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","May",-0.0170853416988077,-0.0166165116467525,57,66,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Jun",-0.0173060221574723,-0.0188094196045052,52,59,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Jul",-0.0131200160297027,-0.0188777709619727,60,61,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Aug",-0.0244210240532048,-0.0513807641896848,61,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Sep",-0.0166568198906374,-0.0529543160022627,56,66,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Oct",0.00952273313017726,-0.00287996983081995,53,53,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Nov",-0.000951870802839982,0.00554081104155735,51,51,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","NorESM1-M","Dec",0.0112910342030279,-0.00373506409909496,55,52,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Jan",-0.0129391381760671,-0.0115689280000826,52,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Feb",-0.0123299985598824,-0.0202838487582846,56,59,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Mar",-0.00459973613243525,-0.0206393904047446,52,58,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Apr",-0.0156441729766628,-0.0217190715822575,56,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","May",-0.0281393751648276,-0.0198247424102975,60,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Jun",-0.0171756482400178,-0.0349145130893147,57,61,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Jul",-0.0109040501476925,-0.0526336371114948,53,59,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Aug",0.00149028264676532,-0.0288677366171273,51,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Sep",-0.0390238929001299,-0.0403780921582997,61,63,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BCC-CSM","Oct",-0.000767782896167413,-0.0207543383541753,50,55,NA,NA,NA
