"title","model","per","not_fine"
"Nitrogen Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0621798268857092
"Nitrogen Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00901209217430987
"Nitrogen Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0219925808161102
"Nitrogen Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2070-2100",0.0423953365129836
"Nitrogen Alafia R at Lithia","MRI_CGCM3_Hargreaves","1989-2012",0.0091261692904403
"Nitrogen Alafia R at Lithia","MRI_CGCM3_Hargreaves","2030-2060",0.020314432079138
"Nitrogen Alafia R at Lithia","MRI_CGCM3_Hargreaves","2070-2100",0.0249072602013779
"Nitrogen Alafia R at Lithia","NorESM1_M_Hargreaves","1989-2012",0.0215605749486653
"Nitrogen Alafia R at Lithia","NorESM1_M_Hargreaves","2030-2060",0.0211976682564918
"Nitrogen Alafia R at Lithia","NorESM1_M_Hargreaves","2070-2100",0.0595301183536477
"Nitrogen Alafia R at Lithia","bcc_csm_Hargreaves","1989-2012",0.01585671914214
"Nitrogen Alafia R at Lithia","bcc_csm_Hargreaves","2030-2060",0.0395689807454513
"Nitrogen Alafia R at Lithia","bcc_csm_Hargreaves","2070-2100",0.121621621621622
"Nitrogen Hillsborough R at Morris Br","BNU_ESM_Hargreaves","1989-2012",0.0311430527036276
"Nitrogen Hillsborough R at Morris Br","BNU_ESM_Hargreaves","2030-2060",0.122681505034446
"Nitrogen Hillsborough R at Morris Br","BNU_ESM_Hargreaves","2070-2100",0.222310545839958
"Nitrogen Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","1989-2012",0.052703627652293
"Nitrogen Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","2030-2060",0.0565271153506448
"Nitrogen Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","2070-2100",0.076223282105635
"Nitrogen Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","1989-2012",0.0578370978781656
"Nitrogen Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","2030-2060",0.124889595477831
"Nitrogen Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","2070-2100",0.261967850203144
"Nitrogen Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","1989-2012",0.0141455624001825
"Nitrogen Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","2030-2060",0.0739268680445151
"Nitrogen Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","2070-2100",0.251104045221692
"Nitrogen Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","1989-2012",0.0362765229295003
"Nitrogen Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","2030-2060",0.0529058470234941
"Nitrogen Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","2070-2100",0.13389860448684
"Nitrogen Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","1989-2012",0.0225872689938398
"Nitrogen Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","2030-2060",0.0215509627274333
"Nitrogen Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","2070-2100",0.0287051757639993
"Nitrogen Hillsborough R at Morris Br","NorESM1_M_Hargreaves","1989-2012",0.0329682865617157
"Nitrogen Hillsborough R at Morris Br","NorESM1_M_Hargreaves","2030-2060",0.0826709062003179
"Nitrogen Hillsborough R at Morris Br","NorESM1_M_Hargreaves","2070-2100",0.213919802155096
"Nitrogen Hillsborough R at Morris Br","bcc_csm_Hargreaves","1989-2012",0.0503080082135524
"Nitrogen Hillsborough R at Morris Br","bcc_csm_Hargreaves","2030-2060",0.124536301006889
"Nitrogen Hillsborough R at Morris Br","bcc_csm_Hargreaves","2070-2100",0.331390213743155
"Phosphorus Alafia R at Lithia","BNU_ESM_Hargreaves","1989-2012",0.00650239561943877
"Phosphorus Alafia R at Lithia","BNU_ESM_Hargreaves","2030-2060",0.0159865748101042
"Phosphorus Alafia R at Lithia","BNU_ESM_Hargreaves","2070-2100",0.0449567214273097
"Phosphorus Alafia R at Lithia","GFDL_CM3_Hargreaves","1989-2012",0.0107232489162674
"Phosphorus Alafia R at Lithia","GFDL_CM3_Hargreaves","2030-2060",0.0190779014308426
"Phosphorus Alafia R at Lithia","GFDL_CM3_Hargreaves","2070-2100",0.03003003003003
"Phosphorus Alafia R at Lithia","GFDL_ESM2G_Hargreaves","1989-2012",0.0117499429614419
"Phosphorus Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2030-2060",0.0172231054583996
"Phosphorus Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2070-2100",0.0491079314608727
"Phosphorus Alafia R at Lithia","MIROC_ESM_Hargreaves","1989-2012",0.00205338809034905
"Phosphorus Alafia R at Lithia","MIROC_ESM_Hargreaves","2030-2060",0.0177530471648119
"Phosphorus Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0518459636106695
"Phosphorus Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00365046771617616
"Phosphorus Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0140434552199258
"Phosphorus Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2070-2100",0.0336512983571807
"Phosphorus Alafia R at Lithia","MRI_CGCM3_Hargreaves","1989-2012",0.0041067761806981
"Phosphorus Alafia R at Lithia","MRI_CGCM3_Hargreaves","2030-2060",0.00892068539127366
"Phosphorus Alafia R at Lithia","MRI_CGCM3_Hargreaves","2070-2100",0.0123653064829535
"Phosphorus Alafia R at Lithia","NorESM1_M_Hargreaves","1989-2012",0.0140314852840521
"Phosphorus Alafia R at Lithia","NorESM1_M_Hargreaves","2030-2060",0.0136901607489843
"Phosphorus Alafia R at Lithia","NorESM1_M_Hargreaves","2070-2100",0.0438085143967497
"Phosphorus Alafia R at Lithia","bcc_csm_Hargreaves","1989-2012",0.00798539812913535
"Phosphorus Alafia R at Lithia","bcc_csm_Hargreaves","2030-2060",0.0285285285285285
"Phosphorus Alafia R at Lithia","bcc_csm_Hargreaves","2070-2100",0.104751810634164
"Phosphorus Hillsborough R at Morris Br","BNU_ESM_Hargreaves","1989-2012",0.0311430527036276
"Phosphorus Hillsborough R at Morris Br","BNU_ESM_Hargreaves","2030-2060",0.122681505034446
"Phosphorus Hillsborough R at Morris Br","BNU_ESM_Hargreaves","2070-2100",0.222310545839958
"Phosphorus Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","1989-2012",0.052703627652293
"Phosphorus Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","2030-2060",0.0565271153506448
"Phosphorus Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","2070-2100",0.076223282105635
"Phosphorus Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","1989-2012",0.0578370978781656
"Phosphorus Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","2030-2060",0.124889595477831
"Phosphorus Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","2070-2100",0.261967850203144
"Phosphorus Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","1989-2012",0.0141455624001825
"Phosphorus Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","2030-2060",0.0739268680445151
"Phosphorus Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","2070-2100",0.251104045221692
"Phosphorus Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","1989-2012",0.0362765229295003
"Phosphorus Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","2030-2060",0.0529058470234941
"Phosphorus Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","2070-2100",0.13389860448684
"Phosphorus Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","1989-2012",0.0225872689938398
"Phosphorus Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","2030-2060",0.0215509627274333
"Phosphorus Hillsborough R at Morris Br","MRI_CGCM3_Hargreaves","2070-2100",0.0287051757639993
"Phosphorus Hillsborough R at Morris Br","NorESM1_M_Hargreaves","1989-2012",0.0329682865617157
"Phosphorus Hillsborough R at Morris Br","NorESM1_M_Hargreaves","2030-2060",0.0826709062003179
"Phosphorus Hillsborough R at Morris Br","NorESM1_M_Hargreaves","2070-2100",0.213919802155096
"Phosphorus Hillsborough R at Morris Br","bcc_csm_Hargreaves","1989-2012",0.0503080082135524
"Phosphorus Hillsborough R at Morris Br","bcc_csm_Hargreaves","2030-2060",0.124536301006889
"Phosphorus Hillsborough R at Morris Br","bcc_csm_Hargreaves","2070-2100",0.331390213743155
"TOC Alafia R at Lithia","BNU_ESM_Hargreaves","1989-2012",0.00650239561943877
