"title","Q_cfs_log_round","wq_orig"
"Nitrogen Hillsborough R at Morris Br",-7.88,NA
"Nitrogen Hillsborough R at Morris Br",-7.879,NA
"Nitrogen Hillsborough R at Morris Br",-7.878,NA
"Nitrogen Hillsborough R at Morris Br",-7.877,NA
"Nitrogen Hillsborough R at Morris Br",-7.876,NA
"Nitrogen Hillsborough R at Morris Br",-7.875,NA
"Nitrogen Hillsborough R at Morris Br",-7.874,NA
"Nitrogen Hillsborough R at Morris Br",-7.873,NA
"Nitrogen Hillsborough R at Morris Br",-7.872,NA
"Nitrogen Hillsborough R at Morris Br",-7.871,NA
"Nitrogen Hillsborough R at Morris Br",-7.87,NA
"Nitrogen Hillsborough R at Morris Br",-7.869,NA
"Nitrogen Hillsborough R at Morris Br",-7.868,NA
"Nitrogen Hillsborough R at Morris Br",-7.867,NA
"Nitrogen Hillsborough R at Morris Br",-7.866,NA
"Nitrogen Hillsborough R at Morris Br",-7.865,NA
"Nitrogen Hillsborough R at Morris Br",-7.864,NA
"Nitrogen Hillsborough R at Morris Br",-7.863,NA
"Nitrogen Hillsborough R at Morris Br",-7.862,NA
"Nitrogen Hillsborough R at Morris Br",-7.861,NA
"Nitrogen Hillsborough R at Morris Br",-7.86,NA
"Nitrogen Hillsborough R at Morris Br",-7.859,NA
"Nitrogen Hillsborough R at Morris Br",-7.858,NA
"Nitrogen Hillsborough R at Morris Br",-7.857,NA
"Nitrogen Hillsborough R at Morris Br",-7.856,NA
"Nitrogen Hillsborough R at Morris Br",-7.855,NA
"Nitrogen Hillsborough R at Morris Br",-7.854,NA
"Nitrogen Hillsborough R at Morris Br",-7.853,NA
"Nitrogen Hillsborough R at Morris Br",-7.852,NA
"Nitrogen Hillsborough R at Morris Br",-7.851,NA
"Nitrogen Hillsborough R at Morris Br",-7.85,NA
"Nitrogen Hillsborough R at Morris Br",-7.849,NA
"Nitrogen Hillsborough R at Morris Br",-7.848,NA
"Nitrogen Hillsborough R at Morris Br",-7.847,NA
"Nitrogen Hillsborough R at Morris Br",-7.846,NA
"Nitrogen Hillsborough R at Morris Br",-7.845,NA
"Nitrogen Hillsborough R at Morris Br",-7.844,NA
"Nitrogen Hillsborough R at Morris Br",-7.843,NA
"Nitrogen Hillsborough R at Morris Br",-7.842,NA
"Nitrogen Hillsborough R at Morris Br",-7.841,NA
"Nitrogen Hillsborough R at Morris Br",-7.84,NA
"Nitrogen Hillsborough R at Morris Br",-7.839,NA
"Nitrogen Hillsborough R at Morris Br",-7.838,NA
"Nitrogen Hillsborough R at Morris Br",-7.837,NA
"Nitrogen Hillsborough R at Morris Br",-7.836,NA
"Nitrogen Hillsborough R at Morris Br",-7.835,NA
"Nitrogen Hillsborough R at Morris Br",-7.834,NA
"Nitrogen Hillsborough R at Morris Br",-7.833,NA
"Nitrogen Hillsborough R at Morris Br",-7.832,NA
"Nitrogen Hillsborough R at Morris Br",-7.831,NA
"Nitrogen Hillsborough R at Morris Br",-7.83,NA
"Nitrogen Hillsborough R at Morris Br",-7.829,NA
"Nitrogen Hillsborough R at Morris Br",-7.828,NA
"Nitrogen Hillsborough R at Morris Br",-7.827,NA
"Nitrogen Hillsborough R at Morris Br",-7.826,NA
"Nitrogen Hillsborough R at Morris Br",-7.825,NA
"Nitrogen Hillsborough R at Morris Br",-7.824,NA
"Nitrogen Hillsborough R at Morris Br",-7.823,NA
"Nitrogen Hillsborough R at Morris Br",-7.822,NA
"Nitrogen Hillsborough R at Morris Br",-7.821,NA
"Nitrogen Hillsborough R at Morris Br",-7.82,NA
"Nitrogen Hillsborough R at Morris Br",-7.819,NA
"Nitrogen Hillsborough R at Morris Br",-7.818,NA
"Nitrogen Hillsborough R at Morris Br",-7.817,NA
"Nitrogen Hillsborough R at Morris Br",-7.816,NA
"Nitrogen Hillsborough R at Morris Br",-7.815,NA
"Nitrogen Hillsborough R at Morris Br",-7.814,NA
"Nitrogen Hillsborough R at Morris Br",-7.813,NA
"Nitrogen Hillsborough R at Morris Br",-7.812,NA
"Nitrogen Hillsborough R at Morris Br",-7.811,NA
"Nitrogen Hillsborough R at Morris Br",-7.81,NA
"Nitrogen Hillsborough R at Morris Br",-7.809,NA
"Nitrogen Hillsborough R at Morris Br",-7.808,NA
"Nitrogen Hillsborough R at Morris Br",-7.807,NA
"Nitrogen Hillsborough R at Morris Br",-7.806,NA
"Nitrogen Hillsborough R at Morris Br",-7.805,NA
"Nitrogen Hillsborough R at Morris Br",-7.804,NA
"Nitrogen Hillsborough R at Morris Br",-7.803,NA
"Nitrogen Hillsborough R at Morris Br",-7.802,NA
"Nitrogen Hillsborough R at Morris Br",-7.801,NA
"Nitrogen Hillsborough R at Morris Br",-7.8,NA
"Nitrogen Hillsborough R at Morris Br",-7.799,NA
"Nitrogen Hillsborough R at Morris Br",-7.798,NA
"Nitrogen Hillsborough R at Morris Br",-7.797,NA
"Nitrogen Hillsborough R at Morris Br",-7.796,NA
"Nitrogen Hillsborough R at Morris Br",-7.795,NA
"Nitrogen Hillsborough R at Morris Br",-7.794,NA
"Nitrogen Hillsborough R at Morris Br",-7.793,NA
"Nitrogen Hillsborough R at Morris Br",-7.792,NA
"Nitrogen Hillsborough R at Morris Br",-7.791,NA
"Nitrogen Hillsborough R at Morris Br",-7.79,NA
"Nitrogen Hillsborough R at Morris Br",-7.789,NA
"Nitrogen Hillsborough R at Morris Br",-7.788,NA
"Nitrogen Hillsborough R at Morris Br",-7.787,NA
"Nitrogen Hillsborough R at Morris Br",-7.786,NA
"Nitrogen Hillsborough R at Morris Br",-7.785,NA
"Nitrogen Hillsborough R at Morris Br",-7.784,NA
"Nitrogen Hillsborough R at Morris Br",-7.783,NA
"Nitrogen Hillsborough R at Morris Br",-7.782,NA
"Nitrogen Hillsborough R at Morris Br",-7.781,NA
"Nitrogen Hillsborough R at Morris Br",-7.78,NA
"Nitrogen Hillsborough R at Morris Br",-7.779,NA
"Nitrogen Hillsborough R at Morris Br",-7.778,NA
