"sim_low","sim_high","sim_mean","sim_median","sim_val","Q_cfs_log_round","in_or_out","method","max_flow_sampled","min_flow_sampled"
120.443924550866,220.890950678389,167.53941507284,164.583045565945,191.0042109548,-6,"OOR","GAM",8.1,2.5
122.259001041331,236.994603881195,172.81517445048,171.294070122614,224.330218596353,-5.9,"OOR","GAM",8.1,2.5
125.097523368254,231.369265057537,169.881263038114,166.571064558174,170.761639043079,-5.8,"OOR","GAM",8.1,2.5
122.154849044159,219.667634027052,167.060555220653,166.614719528576,164.255643603484,-5.7,"OOR","GAM",8.1,2.5
123.901723333003,224.142540826709,171.57900976059,169.635848540741,163.058135232384,-5.6,"OOR","GAM",8.1,2.5
120.199926043448,216.561115931835,165.543535556913,163.51293752586,135.851665822615,-5.5,"OOR","GAM",8.1,2.5
121.683687201614,225.691929452124,168.263986781754,165.780675434497,137.178365867394,-5.4,"OOR","GAM",8.1,2.5
119.221850805762,218.906409650845,168.323744713185,165.810995711163,196.560271730914,-5.3,"OOR","GAM",8.1,2.5
115.571307660442,224.918641544567,166.680334070233,164.925845107122,180.562518930064,-5.2,"OOR","GAM",8.1,2.5
115.338567795674,224.251803017869,166.243025079403,164.752427093619,158.36690877423,-5.1,"OOR","GAM",8.1,2.5
121.208113139617,228.069962601872,169.406613068314,168.787323630185,196.233587862991,-5,"OOR","GAM",8.1,2.5
119.241200568711,225.972265120404,167.202488857243,164.851202078189,162.492955276299,-4.9,"OOR","GAM",8.1,2.5
111.890841788804,221.028631989762,164.346698993422,163.395532676516,219.160562483127,-4.8,"OOR","GAM",8.1,2.5
120.795830689038,218.364651254443,163.327227844625,160.486514437648,195.144754293087,-4.7,"OOR","GAM",8.1,2.5
116.256808442721,217.102603089587,166.057730769724,165.582357927059,128.667361678254,-4.6,"OOR","GAM",8.1,2.5
114.614047908347,218.471444835202,162.529688288612,160.713949548322,171.013198983477,-4.5,"OOR","GAM",8.1,2.5
116.523789291012,225.785414208617,162.196731436484,160.277545198622,233.421047954336,-4.4,"OOR","GAM",8.1,2.5
117.362154098318,215.401491504237,162.358288520276,160.658619943399,159.301227006484,-4.3,"OOR","GAM",8.1,2.5
112.707405457154,216.19183698892,162.975551362795,162.033787299454,164.71544320683,-4.2,"OOR","GAM",8.1,2.5
116.917037143999,219.099420401134,164.80400972297,163.114244910534,138.989058290115,-4.1,"OOR","GAM",8.1,2.5
116.314343448973,217.56037324335,160.406216535548,157.144861490742,113.205369689337,-4,"OOR","GAM",8.1,2.5
116.662836150326,214.808942416564,160.00092903445,158.95997381965,130.392334460483,-3.9,"OOR","GAM",8.1,2.5
115.575041585084,209.029064869319,158.366645787706,157.353300575932,151.554962605489,-3.8,"OOR","GAM",8.1,2.5
115.988561183342,216.271686835496,158.245423348594,154.964203553859,177.367175818814,-3.7,"OOR","GAM",8.1,2.5
114.404426954979,214.232285598475,159.983317409,157.572295207799,160.396237475666,-3.6,"OOR","GAM",8.1,2.5
111.735503271621,205.483170800923,159.199408849933,159.334742845372,169.705110871545,-3.5,"OOR","GAM",8.1,2.5
116.635900317509,209.393880387312,159.037901014734,157.294013599283,125.513982865143,-3.4,"OOR","GAM",8.1,2.5
115.73898976126,210.212878963899,158.592793715161,158.282978919229,191.78052209393,-3.3,"OOR","GAM",8.1,2.5
116.877373992658,205.657988564033,159.309009144572,157.959765104251,152.45909619389,-3.2,"OOR","GAM",8.1,2.5
111.264644486643,205.341829075019,156.745031417029,155.839721600924,179.681411141496,-3.1,"OOR","GAM",8.1,2.5
108.443771493809,216.449275704502,156.161270363111,153.848624998458,147.270919165825,-3,"OOR","GAM",8.1,2.5
107.757611454573,201.180285071607,156.88734543034,156.57873202877,134.618143712214,-2.9,"OOR","GAM",8.1,2.5
103.641537122342,211.814354942665,155.092353781793,154.239845996795,124.475085556746,-2.8,"OOR","GAM",8.1,2.5
