"Q_cfs_log_round","mu_mean","mu_025","mu_975","y_mean","y_025","y_975","title","in_or_out","method","max_flow_sampled","min_flow_sampled"
2.6,0.0225750452924834,0.0117565129648255,0.0371520042233514,0.0226841211985399,0.00804816685977636,0.0472979513525714,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
2.7,0.0246334472183976,0.0134445475314492,0.0394214679572949,0.0250099598142231,0.00917645369720896,0.0508334334424307,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
2.8,0.0268750689548688,0.0153468029618176,0.0417865662353761,0.0268141997229893,0.00930884112592521,0.061818439070463,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
2.9,0.0293136993680124,0.0174848727987338,0.044286893549019,0.0284918901597531,0.0109884684728935,0.0548195034428537,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
3,0.0319636775283618,0.0198613479078032,0.0471399844881174,0.0326309862165991,0.0137868593701284,0.0670418243481813,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
3.1,0.034839834891896,0.0224854544732995,0.0501677004941301,0.0356386633721994,0.013721083810497,0.0766857506535725,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
3.2,0.0379574238096136,0.0253860865340075,0.0533780159390319,0.0379529205765137,0.0161523097533326,0.0682224093329339,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
3.3,0.0413320318594963,0.0286040695488279,0.0567806843010777,0.0416700236596012,0.0173580086791502,0.0774653797845943,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
3.4,0.04497948177131,0.0322622658655954,0.0603858840006896,0.0445574003594624,0.0180041918138839,0.0892485407394823,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
3.5,0.0489157170423146,0.0363057088091715,0.0640205285555673,0.0485171085524008,0.0211221291033347,0.0875458019415093,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
3.6,0.053156673716302,0.0407585974935649,0.0677555261554465,0.0539932187662312,0.024341110360304,0.105317235785495,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
3.7,0.0577181392143505,0.0456449564435626,0.0716838408594683,0.0565496409396982,0.025868260220197,0.10442196925788,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
3.8,0.0626155995536231,0.0509435590956846,0.0758411334404619,0.0620085446941779,0.0256226700061638,0.116569862044276,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
3.9,0.0678640767594743,0.0564067887078312,0.0805190314453339,0.0686632467217046,0.0301006625235574,0.120713526115418,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
4,0.0734779587520852,0.0622912073931621,0.0852969648559044,0.0726824489625295,0.0326458490891276,0.131840305252798,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
4.1,0.0794708244552315,0.068582899015501,0.0903624746264717,0.0800647939762895,0.033425399539065,0.140594625266638,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
4.2,0.0858552673139932,0.0752123428563166,0.0960667473134187,0.086381543916391,0.0378982313537404,0.150270061021983,"Orthophosphate as P Hillsborough R at Morris Br","in range","JAGS",7.7,3.8
